run,生成モデル,VLM図表化,group,n,正答数,正答率_pct,数値target_n,正解数値一致率_pct,正答時_正解数値一致率_pct,誤答時_正解数値一致率_pct,引用マーカーあり率_pct,根拠語あり率_pct,棄権率_pct,平均回答長,平均数値出現数
r1,gpt-oss-20b,なし,O,235,235,100.0,138,89.3,89.3,,0.0,11.9,0.0,721,10.1
r1,gpt-oss-20b,なし,X,65,0,0.0,48,28.5,,28.5,0.0,9.2,27.7,473,11.8
r1,gpt-oss-20b,なし,ALL,300,235,78.3,186,73.6,89.3,28.5,0.0,11.3,6.0,667,10.4
r2,gpt-oss-20b,あり,O,247,247,100.0,144,87.1,87.1,,0.0,13.0,0.0,712,9.3
r2,gpt-oss-20b,あり,X,53,0,0.0,42,41.9,,41.9,0.0,9.4,13.2,548,14.4
r2,gpt-oss-20b,あり,ALL,300,247,82.3,186,76.9,87.1,41.9,0.0,12.3,2.3,683,10.2
r3,qwen3.6-35b,なし,O,240,240,100.0,143,88.4,88.4,,0.0,6.7,2.1,496,7.6
r3,qwen3.6-35b,なし,X,60,0,0.0,43,37.3,,37.3,0.0,5.0,50.0,361,10.6
r3,qwen3.6-35b,なし,ALL,300,240,80.0,186,76.5,88.4,37.3,0.0,6.3,11.7,469,8.2
r4,qwen3.6-35b,あり,O,256,256,100.0,153,86.3,86.3,,0.0,5.5,1.2,485,7.5
r4,qwen3.6-35b,あり,X,44,0,0.0,33,53.1,,53.1,0.0,6.8,43.2,382,13.5
r4,qwen3.6-35b,あり,ALL,300,256,85.3,186,80.4,86.3,53.1,0.0,5.7,7.3,470,8.4
